Record Type,Student SSN,First Name,Middle Initial,Last Name,Name Suffix,Previous SSN,Previous Last Name,Enrollment Status,Status Start Date,Street Line 1,Street Line 2,City,State,Zip,Country,Anticipated Graduation Date,Date of Birth,Term Begin Date,Term End Date,Filler,Directory Block Indicator,NCES CIP Code for Major 1,NCES CIP Code for Major 2,Major Course of Study 1,Major Course of Study 2,Class/ Credential,First Time Full Time,Degree Seeking,High School Code,Gender,Race/ Ethnicity,College Student ID,State Student ID,Email,Good Student,Middle Name,Veteran’s Status Indicator,Reserved for CommIT ID,Pell Grant Recipient Flag,Remedial Flag,Citizenship Flag,Student Phone Type,Preferred Phone Number Flag,Student Phone Country Code,Student Phone Number,Reserved for Move To OPEID Future CH Functionality,Program Indicator,Program 1 CIP Code,Program 1 CIP Year,Program 1 Credential Level,Published Program 1 Length,Published Program 1 Length Measurement,Weeks Program 1 Title IV Academic Year,Program 1 Begin Date,Program 1 Special Program Indicator,Program 1 Enrollment Status,Program 1 Enrollment Status Effective Date,Program 2 CIP Code,Program 2 CIP Year,Program 2 Credential Level,Published Program 2 Length,Published Program 2 Length Measurement,Weeks Program 2 Title IV Academic Year,Program 2 Begin Date,Program 2 Special Program Indicator,Program 2 Enrollment Status,Program 2 Enrollment Status Effective Date,Program 3 CIP Code,Program 3 CIP Year,Program 3 Credential Level,Published Program 3 Length,Published Program 3 Length Measurement,Weeks Program 3 Title IV Academic Year,Program 3 Begin Date,Program 3 Special Program Indicator,Program 3 Enrollment Status,Program 3 Enrollment Status Effective Date,Program 4 CIP Code,Program 4 CIP Year,Program 4 Credential Level,Published Program 4 Length,Published Program 4 Length Measurement,Weeks Program 4 Title IV Academic Year,Program 4 Begin Date,Program 4 Special Program Indicator,Program 4 Enrollment Status,Program 4 Enrollment Status Effective Date,Program 5 CIP Code,Program 5 CIP Year,Program 5 Credential Level,Published Program 5 Length,Published Program 5 Length Measurement,Weeks Program 5 Title IV Academic Year,Program 5 Begin Date,Program 5 Special Program Indicator,Program 5 Enrollment Status,Program 5 Enrollment Status Effective Date,Program 6 CIP Code,Program 6 CIP Year,Program 6 Credential Level,Published Program 6 Length,Published Program 6 Length Measurement,Weeks Program 6 Title IV Academic Year,Program 6 Begin Date,Program 6 Special Program Indicator,Program 6 Enrollment Status,Program 6 Enrollment Status Effective Date,Filler 2
D1,975464835,George,,Washington,,,,F,,804 West 15th Street,,Laurel,MS,39440,US,20160626,19670526,20150626,20151123,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,231302,2010,05,104000,W,039000,20130628,N,F,20150626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,NO SSN,John,,Adams,,,,F,,105 Hemenway Road,,Leverett,MA,01054,US,20160701,19900626,20150626,20151123,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,231302,2010,05,104000,W,039000,20140627,N,F,20150626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,430381340,Thomas,T,Jefferson,,,,Q,,227 West Hersey St.,,Ashland,OR,97520,US,20160117,19750918,20150710,20151214,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,130101,2010,05,078000,W,039000,20130727,N,Q,20150710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,003833639,James,,Madison,,,,F,,1629 Queen Anne Ave. N,Apt. 202,Seattle,WA,98109,US,20160215,19811201,20150710,20151130,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,231302,2010,05,104000,W,039000,20140711,N,F,20150710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,369298842,James,,Monroe,,,,Q,,18 Sheridan Street,,Barre,VT,05641,US,20170328,19940222,20150904,20160111,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,422803,2010,03,104000,W,034000,20140912,N,Q,20150904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,257360638,John,Q,Adams,,,,F,,33B Rustic Rd.,,Gray,ME,04039,US,20171001,19920108,20150918,20160125,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,240101,2010,03,208000,W,033000,20150918,N,F,20150918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,525592153,Andrew,E,Jackson,,,,G,20150727,1119 Maxwell Hill Rd.,,Beckley,WV,25801,US,,19740514,20150918,20160125,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,231302,2010,03,104000,W,033000,20140411,N,G,20150727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,007668291,Martin,C,VanBuren,,,,G,20150713,23 East Barnard Rd.,Apt. 1,South Royalton,VT,05068,US,,19880429,20150904,20160111,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,422803,2010,05,130000,W,034000,20130405,N,G,20150713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,763460316,William,H,Harrison,,,,A,20150918,9910 Parkwood Drive,,Bethesda,MD,20814,US,,19680526,20150918,20160125,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,509999,2010,05,,W,036000,20130920,N,A,20150918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,880848287,John,K,Tyler,,,,F,,5417 Pentridge St.,,Philadelphia,PA,19143,US,20190820,19890610,20150821,20151221,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,240101,2010,03,208000,W,033000,20150821,N,F,20150821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,539081027,James,K,Polk,,,,F,,362 Union Street,,Northfield,VT,05663,US,20160228,19910318,20150821,20151221,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,240101,2010,03,208000,W,033000,20130301,N,F,20150821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
